ZagreusHome,ID,ID,ID,,,,Line,,Notes by AR,Notes by DK,
Integrated,ZagreusHome_,0002,ZagreusHome_0002a,,,,I'm home...,,,,
Integrated,ZagreusHome_,0003,ZagreusHome_0003c,,,,I'm home!,,,,
Integrated,ZagreusHome_,0004,ZagreusHome_0004,,,,Father...?,,,,
Integrated,ZagreusHome_,0005,ZagreusHome_0005a,,,,I'm back. Again.,,,,
Integrated,ZagreusHome_,0006,ZagreusHome_0006,,,,"Uh, so, did everybody miss me...?",,,,
Integrated,ZagreusHome_,0007,ZagreusHome_0007b,,,,Back again.,,,,
Integrated,ZagreusHome_,0008,ZagreusHome_0008a,,,,That really hurt.,,,,
Integrated,ZagreusHome_,0009,ZagreusHome_0009,,,,<Laugh>,,,,
Integrated,ZagreusHome_,0010,ZagreusHome_0010b,,,,How'd I do that time.,,,,
Integrated,ZagreusHome_,0011,ZagreusHome_0011a,,,,Not too bad that time.,,,,
Integrated,ZagreusHome_,0012,ZagreusHome_0012d,,,,That could have gone better.,,,,
Integrated,ZagreusHome_,0014,ZagreusHome_0014,,,,Good talk...? Good talk.,,,,
Unused,ZagreusHome_,0016,ZagreusHome_0016b,,,,No wonder they don't like you.,,,,
Integrated,ZagreusHome_,0018,ZagreusHome_0018,,,,"Oh, I will.",,,,
Unused,ZagreusHome_,0020,ZagreusHome_0020,,,,"You've taught me everything I know. Other than how to fend for myself, I owe Achilles that.",,,,
Unused,ZagreusHome_,0023,ZagreusHome_0023,,,,Wish I could be there to see your face.,,,,
Unused,ZagreusHome_,0026,ZagreusHome_0026,,,,At least he likes the dog.,,,,
Unused,ZagreusHome_,0030,ZagreusHome_0030,,,,"He's fast asleep. How long has he been up...? Whatever, I should go.",,,,
Integrated,ZagreusHome_,0031,ZagreusHome_0031,,,,"You keep an eye on Father for me, boy. Don't let him sour up everyone's mood.",,,,
Integrated,ZagreusHome_,0033,ZagreusHome_0033,,,,"All right, one more time.",,,,
Integrated,ZagreusHome_,0034,ZagreusHome_0034,,,,Ready as I'll ever be.,,,,
Integrated,ZagreusHome_,0035,ZagreusHome_0035,,,,Time to go.,,,,
Integrated,ZagreusHome_,0036,ZagreusHome_0036,,,,No use.,,,,
Integrated,ZagreusHome_,0037,ZagreusHome_0037,,,,It's locked.,,,,
Integrated,ZagreusHome_,0038,ZagreusHome_0038,,,,Can't do it.,,,,
Integrated,ZagreusHome_,0039,ZagreusHome_0039,,,,I better not.,,,,
Integrated,ZagreusHome_,0040,ZagreusHome_0040,,,,Won't open.,,,,
Integrated,ZagreusHome_,0041,ZagreusHome_0041,,,,No way.,,,,
Integrated,ZagreusHome_,0042,ZagreusHome_0042a,,,,"Hey Room, I'm back.",,,,
Integrated,ZagreusHome_,0043,ZagreusHome_0043,,,,<Sigh.>,,,,
Integrated,ZagreusHome_,0044,ZagreusHome_0044,,,,"Hey, Room.",,,,
Integrated,ZagreusHome_,0045,ZagreusHome_0045,,,,"I'm back, Room, did you miss me?",,,,
Integrated,ZagreusHome_,0046,ZagreusHome_0046,,,,Gods...,,,,
Integrated,ZagreusHome_,0047,ZagreusHome_0047,,,,What do I do now.,,,,
Integrated,ZagreusHome_,0048,ZagreusHome_0048,,,,I'll earn your favor yet.,,,,
Integrated,ZagreusHome_,0049,ZagreusHome_0049,,,,Now we're talking.,,,,
Integrated,ZagreusHome_,0050,ZagreusHome_0050,,,,Much appreciated.,,,,
Integrated,ZagreusHome_,0051,ZagreusHome_0051,,,,"Thank you, gods.",,,,
Integrated,ZagreusHome_,0052,ZagreusHome_0052,,,,"Whatever, let's try it.",,,,
Integrated,ZagreusHome_,0053,ZagreusHome_0053,,,,"Sure, why not.",,,,
Integrated,ZagreusHome_,0054,ZagreusHome_0054,,,,How bad could it be?,,Note: Used in Field context,,
Integrated,ZagreusHome_,0055,ZagreusHome_0055,,,,"Eh, might as well.",,,,
Integrated,ZagreusHome_,0056,ZagreusHome_0056,,,,Let's see.,,,,
Integrated,ZagreusHome_,0057,ZagreusHome_0057,,,,Let's have a look here.,,,,
Integrated,ZagreusHome_,0058,ZagreusHome_0058,,,,Hmm.,,,,
Integrated,ZagreusHome_,0059,ZagreusHome_0059,,,,What do we have here.,,,,
Integrated,ZagreusHome_,0060,ZagreusHome_0060,,,,Look what I found.,,,,
Integrated,ZagreusHome_,0061,ZagreusHome_0061,,,,Ow...,,,,
Integrated,ZagreusHome_,0062,ZagreusHome_0062,,,,Eughh...,,,,
Integrated,ZagreusHome_,0063,ZagreusHome_0063,,,,Auggh...,,,,
Integrated,ZagreusHome_,0064,ZagreusHome_0064,,,,"Erm, all right then.",,,,
Integrated,ZagreusHome_,0065,ZagreusHome_0065,,,,"Urghh, surprise...!",,,,
Integrated,ZagreusHome_,0066,ZagreusHome_0066,,,,Oh come on it's not that bad is it?,,,,
Integrated,ZagreusHome_,0067,ZagreusHome_0067,,,,Mother... I wonder... will you even remember me?,,,,
Integrated,ZagreusHome_,0069,ZagreusHome_0069,,,,Ready to face the Underworld...,,,,
Integrated,ZagreusHome_,0070,ZagreusHome_0070,,,,How am I looking...,,,,
Integrated,ZagreusHome_,0071,ZagreusHome_0071,,,,Think I need a shave...,,,,
Integrated,ZagreusHome_,0072,ZagreusHome_0072,,,,Hello handsome.,,,,
Integrated,ZagreusHome_,0073,ZagreusHome_0073,,,,All right I'm ready.,,,,
Integrated,ZagreusHome_,0074,ZagreusHome_0074,,,,All set.,,,,
Integrated,ZagreusHome_,0075,ZagreusHome_0075,,,,Good to go.,,,,
Integrated,ZagreusHome_,0076,ZagreusHome_0076,,,,Excellent.,,,,
Integrated,ZagreusHome_,0077,ZagreusHome_0077,,,,No time to rest.,,,,
Integrated,ZagreusHome_,0078,ZagreusHome_0078,,,,If I sit down I won't want to get back up.,,,,
Integrated,ZagreusHome_,0079,ZagreusHome_0079,,,,Not as comfy as it looks.,,,,
Unused,ZagreusHome_,0081,ZagreusHome_0081,,,,...This is the cheeriest thing I think I've heard from him.,,,,
Integrated,ZagreusHome_,0083,ZagreusHome_0083,,,,"So mate, you know Eurydice? Well I just happened to run into her out there. Asked me to let you know that she can always hear your songs, no matter how far apart you are. Seemed rather sweet of her, I have to say.",,,,
Integrated,ZagreusHome_,0085,ZagreusHome_0085,,,,"Smack guys against walls. Sound advice as ever, Skelly.",,,,
Integrated,ZagreusHome_,0086,ZagreusHome_0086,,,,Look for the perfect opportunity to unleash my much-feared temper. Check.,,,,
Integrated,ZagreusHome_,0087,ZagreusHome_0087,,,,"Happy to be of service there, now you just keep watching that big old pool of blood for us, all right?",,,,
Integrated,ZagreusHome_,0090,ZagreusHome_0090,,,,Whoops.,,,,
